URL,File,TimePeriod,Ext,ClimModel,ClimScenario,Var,OutName,Long_name,unit,explanation
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio10_1981-2010_V.2.1.tif,CHELSA_bio10_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio10,bio10_1981-2010_Current,mean daily mean air temperatures of the warmest quarter,deg C,The warmest quarter of the year is determined (to the nearest month)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio11_1981-2010_V.2.1.tif,CHELSA_bio11_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio11,bio11_1981-2010_Current,mean daily mean air temperatures of the coldest quarter,deg C,The coldest quarter of the year is determined (to the nearest month)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio12_1981-2010_V.2.1.tif,CHELSA_bio12_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio12,bio12_1981-2010_Current,annual precipitation amount,kg m-2,Accumulated precipitation amount over 1 year
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio13_1981-2010_V.2.1.tif,CHELSA_bio13_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio13,bio13_1981-2010_Current,precipitation amount of the wettest month,kg m-2,The precipitation of the wettest month.
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio14_1981-2010_V.2.1.tif,CHELSA_bio14_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio14,bio14_1981-2010_Current,precipitation amount of the driest month,kg m-2,The precipitation of the driest month.
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio15_1981-2010_V.2.1.tif,CHELSA_bio15_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio15,bio15_1981-2010_Current,precipitation seasonality,kg m-2,The Coefficient of Variation = 100*standard deviation of the monthly precipitation / mean 
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio16_1981-2010_V.2.1.tif,CHELSA_bio16_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio16,bio16_1981-2010_Current,mean monthly precipitation amount of the wettest quarter,kg m-2,The wettest quarter of the year is determined (to the nearest month)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio17_1981-2010_V.2.1.tif,CHELSA_bio17_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio17,bio17_1981-2010_Current,mean monthly precipitation amount of the driest quarter,kg m-2,The driest quarter of the year is determined (to the nearest month)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio18_1981-2010_V.2.1.tif,CHELSA_bio18_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio18,bio18_1981-2010_Current,mean monthly precipitation amount of the warmest quarter,kg m-2,The warmest quarter of the year is determined (to the nearest month)
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio19_1981-2010_V.2.1.tif,CHELSA_bio19_1981-2010_V.2.1.tif,1981-2010,tif,Current,Current,bio19,bio19_1981-2010_Current,mean monthly precipitation amount of the coldest quarter,kg m-2,The coldest quarter of the year is determined (to the nearest month)
